BANCO;MONTO;PERFIL;FECHA
DE AMÉRICA CENTRAL, S. A.;31470534;PASIVO;2020/12/31
AGROMERCANTIL DE GUATEMALA, S. A.;29175847;PASIVO;2020/12/31
G&T CONTINENTAL, S. A.;50635901;PASIVO;2020/12/31
AZTECA DE GUATEMALA, S. A.;1374482;PASIVO;2020/12/31
INV, S. A.;805432;PASIVO;2020/12/31
CREDICORP, S. A.;366104;PASIVO;2020/12/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;233773;CAPITAL;2020/12/31
INMOBILIARIO, S. A.;332799;CAPITAL;2020/12/31
DE LOS TRABAJADORES;3883442;CAPITAL;2020/12/31
INDUSTRIAL, S. A.;9108694;CAPITAL;2020/12/31
DE DESARROLLO RURAL, S. A.;7896627;CAPITAL;2020/12/31
INTERNACIONAL, S. A.;1036695;CAPITAL;2020/12/31
CITIBANK, N.A., SUCURSAL GUATEMALA;342815;CAPITAL;2020/12/31
VIVIBANCO, S. A.;153750;CAPITAL;2020/12/31
FICOHSA GUATEMALA, S. A.;318948;CAPITAL;2020/12/31
PROMERICA, S. A.;1605074;CAPITAL;2020/12/31
DE ANTIGUA, S. A.;197730;CAPITAL;2020/12/31
DE AMÉRICA CENTRAL, S. A.;3010380;CAPITAL;2020/12/31
AGROMERCANTIL DE GUATEMALA, S. A.;2636163;CAPITAL;2020/12/31
G&T CONTINENTAL, S. A.;5115743;CAPITAL;2020/12/31
AZTECA DE GUATEMALA, S. A.;559955;CAPITAL;2020/12/31
INV, S. A.;125088;CAPITAL;2020/12/31
CREDICORP, S. A.;59213;CAPITAL;2020/12/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5231404;ACTIVO;2021/01/31
INMOBILIARIO, S. A.;2037146;ACTIVO;2021/01/31
DE LOS TRABAJADORES;28121453;ACTIVO;2021/01/31
INDUSTRIAL, S. A.;109911171;ACTIVO;2021/01/31
DE DESARROLLO RURAL, S. A.;85620311;ACTIVO;2021/01/31
INTERNACIONAL, S. A.;11322296;ACTIVO;2021/01/31
CITIBANK, N.A., SUCURSAL GUATEMALA;4594835;ACTIVO;2021/01/31
VIVIBANCO, S. A.;788552;ACTIVO;2021/01/31
FICOHSA GUATEMALA, S. A.;3031790;ACTIVO;2021/01/31
PROMERICA, S. A.;17969928;ACTIVO;2021/01/31
DE ANTIGUA, S. A.;1488318;ACTIVO;2021/01/31
DE AMÉRICA CENTRAL, S. A.;34701142;ACTIVO;2021/01/31
AGROMERCANTIL DE GUATEMALA, S. A.;31855324;ACTIVO;2021/01/31
G&T CONTINENTAL, S. A.;56554430;ACTIVO;2021/01/31
AZTECA DE GUATEMALA, S. A.;1911075;ACTIVO;2021/01/31
INV, S. A.;929271;ACTIVO;2021/01/31
CREDICORP, S. A.;430598;ACTIVO;2021/01/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;4985605;PASIVO;2021/01/31
INMOBILIARIO, S. A.;1702746;PASIVO;2021/01/31
DE LOS TRABAJADORES;24179138;PASIVO;2021/01/31
INDUSTRIAL, S. A.;100683638;PASIVO;2021/01/31
DE DESARROLLO RURAL, S. A.;77636201;PASIVO;2021/01/31
